"Path","Name","Extension","SizeKB","Width","Height"
"C:\Users\colle\saffron-restaurant\img\inner-page-banner.jpg","inner-page-banner.jpg","JPG","30.87","1920","723"
"C:\Users\colle\saffron-restaurant\img\table-reservation1.jpg","table-reservation1.jpg","JPG","30.61","1920","522"
"C:\Users\colle\saffron-restaurant\img\about2-back.jpg","about2-back.jpg","JPG","30.21","1920","597"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\31.jpg","31.jpg","JPG","30.01","272","342"
"C:\Users\colle\saffron-restaurant\img\table-reservation2.jpg","table-reservation2.jpg","JPG","29.66","1920","621"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\33.jpg","33.jpg","JPG","29.42","272","342"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\menu5-back2.jpg","menu5-back2.jpg","JPG","29.17","570","164"
"C:\Users\colle\saffron-restaurant\img\special-dishes-back.jpg","special-dishes-back.jpg","JPG","29.1","1920","731"
"C:\Users\colle\saffron-restaurant\img\section-back.png","section-back.png","PNG","28.29","235","189"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\25.jpg","25.jpg","JPG","27.94","282","259"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\32.jpg","32.jpg","JPG","27.87","272","342"
"C:\Users\colle\saffron-restaurant\css\color\img\team\2.jpg","2.jpg","JPG","27.84","370","522"
"C:\Users\colle\saffron-restaurant\img\dish\custed-apple.jpg","custed-apple.jpg","JPG","26.78","800","800"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\menu5-back4.jpg","menu5-back4.jpg","JPG","26.33","570","164"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\41.jpg","41.jpg","JPG","25.94","272","342"
"C:\Users\colle\saffron-restaurant\css\color\img\recipe-box2-1.jpg","recipe-box2-1.jpg","JPG","25.61","377","251"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\36.jpg","36.jpg","JPG","25.11","272","342"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\27.jpg","27.jpg","JPG","24.95","282","259"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\30.jpg","30.jpg","JPG","24.48","282","259"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\24.jpg","24.jpg","JPG","24.36","282","259"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\1.png","1.png","PNG","24.3","170","170"
"C:\Users\colle\saffron-restaurant\img\dish\chicken-hot-sour.jpg","chicken-hot-sour.jpg","JPG","24.1","800","800"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\23.jpg","23.jpg","JPG","24","282","259"
"C:\Users\colle\saffron-restaurant\img\logo.png","logo.png","PNG","23.64","1940","542"
"C:\Users\colle\saffron-restaurant\css\color\img\preloader.gif","preloader.gif","GIF","23.54","300","49"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\13.jpg","13.jpg","JPG","22.79","272","194"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\11.jpg","11.jpg","JPG","22.56","272","194"
"C:\Users\colle\saffron-restaurant\img\chef\1.jpg","1.jpg","JPG","22.4","470","472"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\19.jpg","19.jpg","JPG","21.87","272","194"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\menu5-back3.jpg","menu5-back3.jpg","JPG","21.72","570","164"
"C:\Users\colle\saffron-restaurant\css\color\img\team\1.jpg","1.jpg","JPG","21.49","370","522"
"C:\Users\colle\saffron-restaurant\img\dish\LENTIL-YELLOW.jpg","LENTIL-YELLOW.jpg","JPG","21.17","512","512"
"C:\Users\colle\saffron-restaurant\css\color\img\team\3.jpg","3.jpg","JPG","20.81","370","522"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\29.jpg","29.jpg","JPG","20.8","282","259"
"C:\Users\colle\saffron-restaurant\img\dish\CHIKEN-TIKKAM-bkp.jpg","CHIKEN-TIKKAM-bkp.jpg","JPG","20.63","512","512"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\22.jpg","22.jpg","JPG","20.54","272","194"
"C:\Users\colle\saffron-restaurant\img\dish\chikoo-shake.jpg","chikoo-shake.jpg","JPG","18.99","800","800"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\28.jpg","28.jpg","JPG","18.9","282","259"
"C:\Users\colle\saffron-restaurant\css\color\img\client\1.png","1.png","PNG","18.5","100","100"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\26.jpg","26.jpg","JPG","18.36","282","259"
"C:\Users\colle\saffron-restaurant\img\dish\goolab-jaamoon.jpg","goolab-jaamoon.jpg","JPG","18.32","800","800"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\2.png","2.png","PNG","18.25","101","101"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\12.jpg","12.jpg","JPG","17.61","272","194"
"C:\Users\colle\saffron-restaurant\img\dish\chicken-tandori-272.jpg","chicken-tandori-272.jpg","JPG","17.45","272","342"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\18.jpg","18.jpg","JPG","17.28","272","194"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\44.jpg","44.jpg","JPG","17.28","272","194"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\21.jpg","21.jpg","JPG","17.23","272","194"
